address,latitude,longitude
london,51.5112139,-0.1198244
paris,48.856614,2.3522219
liverpool,53.4083714,-2.9915726
berlin,52.519171,13.4060912
barcelona,41.3850639,2.1734035
amsterdam,52.3702157,4.8951679
madrid,40.4167754,-3.7037902
rome,41.8929163,12.4825199
manchester,53.479251,-2.247926
dublin,53.3498053,-6.2603097
munich,48.1366069,11.5770851
hamburg,53.5510846,9.9936818
venice,45.4408474,12.3155151
glasgow,55.864237,-4.251806
florence,43.7710332,11.2480006
prague,50.0755381,14.4378005